item_topic,source_topic,age_segment,dt,visits
Деньги,Авто,18-25,2019-09-24 18:32:00,3
Деньги,Авто,18-25,2019-09-24 18:35:00,1
Деньги,Авто,18-25,2019-09-24 18:54:00,4
Деньги,Авто,18-25,2019-09-24 18:55:00,17
Деньги,Авто,18-25,2019-09-24 18:56:00,27
Деньги,Авто,18-25,2019-09-24 18:57:00,22
Деньги,Авто,18-25,2019-09-24 18:58:00,24
Деньги,Авто,18-25,2019-09-24 18:59:00,20
Деньги,Авто,18-25,2019-09-24 19:00:00,5
Деньги,Авто,26-30,2019-09-24 18:29:00,1
Деньги,Авто,26-30,2019-09-24 18:30:00,1
Деньги,Авто,26-30,2019-09-24 18:31:00,1
Деньги,Авто,26-30,2019-09-24 18:32:00,1
Деньги,Авто,26-30,2019-09-24 18:54:00,4
Деньги,Авто,26-30,2019-09-24 18:55:00,13
Деньги,Авто,26-30,2019-09-24 18:56:00,18
Деньги,Авто,26-30,2019-09-24 18:57:00,15
Деньги,Авто,26-30,2019-09-24 18:58:00,13
Деньги,Авто,26-30,2019-09-24 18:59:00,13
Деньги,Авто,26-30,2019-09-24 19:00:00,5
Деньги,Авто,31-35,2019-09-24 18:30:00,1
Деньги,Авто,31-35,2019-09-24 18:54:00,1
Деньги,Авто,31-35,2019-09-24 18:55:00,4
Деньги,Авто,31-35,2019-09-24 18:56:00,10
Деньги,Авто,31-35,2019-09-24 18:57:00,9
Деньги,Авто,31-35,2019-09-24 18:58:00,14
Деньги,Авто,31-35,2019-09-24 18:59:00,11
Деньги,Авто,31-35,2019-09-24 19:00:00,6
Деньги,Авто,36-40,2019-09-24 18:30:00,1
Деньги,Авто,36-40,2019-09-24 18:32:00,1
Деньги,Авто,36-40,2019-09-24 18:52:00,1
Деньги,Авто,36-40,2019-09-24 18:54:00,1
Деньги,Авто,36-40,2019-09-24 18:55:00,4
Деньги,Авто,36-40,2019-09-24 18:56:00,10
Деньги,Авто,36-40,2019-09-24 18:57:00,8
Деньги,Авто,36-40,2019-09-24 18:58:00,7
Деньги,Авто,36-40,2019-09-24 18:59:00,6
Деньги,Авто,36-40,2019-09-24 19:00:00,3
Деньги,Авто,41-45,2019-09-24 18:29:00,2
Деньги,Авто,41-45,2019-09-24 18:30:00,1
Деньги,Авто,41-45,2019-09-24 18:33:00,1
Деньги,Авто,41-45,2019-09-24 18:55:00,1
Деньги,Авто,41-45,2019-09-24 18:56:00,2
Деньги,Авто,41-45,2019-09-24 18:57:00,5
Деньги,Авто,41-45,2019-09-24 18:58:00,2
Деньги,Авто,41-45,2019-09-24 18:59:00,1
Деньги,Авто,45+,2019-09-24 18:54:00,1
Деньги,Авто,45+,2019-09-24 18:55:00,1
Деньги,Авто,45+,2019-09-24 18:56:00,3
Деньги,Авто,45+,2019-09-24 18:57:00,2
Деньги,Авто,45+,2019-09-24 18:58:00,9
Деньги,Авто,45+,2019-09-24 19:00:00,1
Деньги,Деньги,18-25,2019-09-24 18:32:00,2
Деньги,Деньги,18-25,2019-09-24 18:33:00,1
Деньги,Деньги,18-25,2019-09-24 18:53:00,1
Деньги,Деньги,18-25,2019-09-24 18:54:00,3
Деньги,Деньги,18-25,2019-09-24 18:55:00,14
Деньги,Деньги,18-25,2019-09-24 18:56:00,18
Деньги,Деньги,18-25,2019-09-24 18:57:00,23
Деньги,Деньги,18-25,2019-09-24 18:58:00,15
Деньги,Деньги,18-25,2019-09-24 18:59:00,13
Деньги,Деньги,18-25,2019-09-24 19:00:00,7
Деньги,Деньги,26-30,2019-09-24 18:55:00,3
Деньги,Деньги,26-30,2019-09-24 18:56:00,6
Деньги,Деньги,26-30,2019-09-24 18:57:00,4
